group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
pairing 1 rnd,,,,,53420656.0,ns,8
pairing 1 rnd,,,,,53405095.0,ns,8
pairing 1 rnd,,,,,53418887.0,ns,8
pairing 1 rnd,,,,,53379745.0,ns,8
pairing 1 rnd,,,,,53440477.0,ns,8
pairing 1 rnd,,,,,53361635.0,ns,8
pairing 1 rnd,,,,,53373705.0,ns,8
pairing 1 rnd,,,,,53356135.0,ns,8
pairing 1 rnd,,,,,53416756.0,ns,8
pairing 1 rnd,,,,,53502928.0,ns,8
pairing 1 rnd,,,,,53370246.0,ns,8
pairing 1 rnd,,,,,53394786.0,ns,8
pairing 1 rnd,,,,,53397125.0,ns,8
pairing 1 rnd,,,,,53405036.0,ns,8
pairing 1 rnd,,,,,53401386.0,ns,8
pairing 1 rnd,,,,,53337385.0,ns,8
pairing 1 rnd,,,,,53404075.0,ns,8
pairing 1 rnd,,,,,53502419.0,ns,8
pairing 1 rnd,,,,,53416506.0,ns,8
pairing 1 rnd,,,,,53417457.0,ns,8
pairing 1 rnd,,,,,53379735.0,ns,8
pairing 1 rnd,,,,,53390995.0,ns,8
pairing 1 rnd,,,,,53367825.0,ns,8
pairing 1 rnd,,,,,53393805.0,ns,8
pairing 1 rnd,,,,,53387216.0,ns,8
pairing 1 rnd,,,,,53388075.0,ns,8
pairing 1 rnd,,,,,53390776.0,ns,8
pairing 1 rnd,,,,,53376905.0,ns,8
pairing 1 rnd,,,,,53427147.0,ns,8
pairing 1 rnd,,,,,53378515.0,ns,8
pairing 1 rnd,,,,,53350315.0,ns,8
pairing 1 rnd,,,,,53380256.0,ns,8
pairing 1 rnd,,,,,53405305.0,ns,8
pairing 1 rnd,,,,,53351485.0,ns,8
pairing 1 rnd,,,,,53384315.0,ns,8
pairing 1 rnd,,,,,53367685.0,ns,8
pairing 1 rnd,,,,,53582800.0,ns,8
pairing 1 rnd,,,,,53400786.0,ns,8
pairing 1 rnd,,,,,53347584.0,ns,8
pairing 1 rnd,,,,,53804436.0,ns,8
pairing 1 rnd,,,,,53469367.0,ns,8
pairing 1 rnd,,,,,53396356.0,ns,8
pairing 1 rnd,,,,,53386865.0,ns,8
pairing 1 rnd,,,,,53443517.0,ns,8
pairing 1 rnd,,,,,53400426.0,ns,8
pairing 1 rnd,,,,,53461688.0,ns,8
pairing 1 rnd,,,,,53516098.0,ns,8
pairing 1 rnd,,,,,53363385.0,ns,8
pairing 1 rnd,,,,,53387556.0,ns,8
pairing 1 rnd,,,,,53418776.0,ns,8
pairing 1 rnd,,,,,53370196.0,ns,8
pairing 1 rnd,,,,,53385845.0,ns,8
pairing 1 rnd,,,,,53417846.0,ns,8
pairing 1 rnd,,,,,53424597.0,ns,8
pairing 1 rnd,,,,,53390475.0,ns,8
pairing 1 rnd,,,,,53563730.0,ns,8
pairing 1 rnd,,,,,53419526.0,ns,8
pairing 1 rnd,,,,,53381056.0,ns,8
pairing 1 rnd,,,,,53414506.0,ns,8
pairing 1 rnd,,,,,53425436.0,ns,8
pairing 1 rnd,,,,,53394796.0,ns,8
pairing 1 rnd,,,,,53394826.0,ns,8
pairing 1 rnd,,,,,53396256.0,ns,8
pairing 1 rnd,,,,,53390725.0,ns,8
pairing 1 rnd,,,,,53425107.0,ns,8
pairing 1 rnd,,,,,53397226.0,ns,8
pairing 1 rnd,,,,,53400856.0,ns,8
pairing 1 rnd,,,,,53490308.0,ns,8
pairing 1 rnd,,,,,53415966.0,ns,8
pairing 1 rnd,,,,,53362664.0,ns,8
pairing 1 rnd,,,,,53395116.0,ns,8
pairing 1 rnd,,,,,53353475.0,ns,8
pairing 1 rnd,,,,,53407245.0,ns,8
pairing 1 rnd,,,,,53397105.0,ns,8
pairing 1 rnd,,,,,53493608.0,ns,8
pairing 1 rnd,,,,,53535469.0,ns,8
pairing 1 rnd,,,,,53384066.0,ns,8
pairing 1 rnd,,,,,53425736.0,ns,8
pairing 1 rnd,,,,,53360865.0,ns,8
pairing 1 rnd,,,,,53421367.0,ns,8
pairing 1 rnd,,,,,53428666.0,ns,8
pairing 1 rnd,,,,,53396866.0,ns,8
pairing 1 rnd,,,,,53392286.0,ns,8
pairing 1 rnd,,,,,53400585.0,ns,8
pairing 1 rnd,,,,,53427176.0,ns,8
pairing 1 rnd,,,,,53396626.0,ns,8
pairing 1 rnd,,,,,53339075.0,ns,8
pairing 1 rnd,,,,,53399426.0,ns,8
pairing 1 rnd,,,,,53421177.0,ns,8
pairing 1 rnd,,,,,53403216.0,ns,8
pairing 1 rnd,,,,,53381965.0,ns,8
pairing 1 rnd,,,,,53406216.0,ns,8
pairing 1 rnd,,,,,53473228.0,ns,8
pairing 1 rnd,,,,,53383585.0,ns,8
pairing 1 rnd,,,,,53409266.0,ns,8
pairing 1 rnd,,,,,53378856.0,ns,8
pairing 1 rnd,,,,,53401626.0,ns,8
pairing 1 rnd,,,,,53368035.0,ns,8
pairing 1 rnd,,,,,53383235.0,ns,8
pairing 1 rnd,,,,,53398026.0,ns,8
